Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_login_TestListener,Chrome 121.0.0.0,,,08-02-2024 15:38:48,08-02-2024 15:39:34,45.266s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Home_Login-001,Chrome 121.0.0.0,,,08-02-2024 15:38:49,08-02-2024 15:39:34,44.967s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 15:38:49,08-02-2024 15:38:54,5.100s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 15:38:54,08-02-2024 15:38:55,0.999s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,08-02-2024 15:38:55,08-02-2024 15:38:56,1.139s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,08-02-2024 15:38:56,08-02-2024 15:39:24,27.961s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), username)",Chrome 121.0.0.0,,,08-02-2024 15:39:24,08-02-2024 15:39:27,2.654s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon Sign In/input_email""))",Chrome 121.0.0.0,,,08-02-2024 15:39:27,08-02-2024 15:39:27,0.315s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), Password)",Chrome 121.0.0.0,,,08-02-2024 15:39:27,08-02-2024 15:39:33,5.860s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,08-02-2024 15:39:33,08-02-2024 15:39:33,0.398s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 15:39:33,08-02-2024 15:39:34,0.285s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 15:39:34,08-02-2024 15:39:34,0.008s,PASSED
